"Paper_title"	"Paper_author"	"Data_extraction_method"	"Sel_coeff"	"Error_new"	"Sel_temp"	"Assay_temp"	"Rel_assay_temp"	"Abs_rel_assay_temp"	"Sign"	"Side"	"No_of_Gen"	"Recombination"	"Type_Gen_var"	"Ans_vs_Control"	"Study_ID"	"Curve_ID"	"Genus"	"Species"	"Scientific_name"	"Exp_Design"
"74"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.020794415	0.002829762	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_12"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"75"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.006931472	0.008489285	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_13"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"76"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.020794415	0.014148808	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_14"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"77"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_15"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"78"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.027725887	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_16"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"79"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.020794415	0.008489285	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_17"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"80"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.020794415	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_18"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"81"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.006931472	0.005659523	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_19"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"82"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.027725887	0.014148808	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_20"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"83"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.034657359	0.005659523	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_21"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"84"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.013862944	0.008489285	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_22"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"85"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.048520303	0.005659523	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_23"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"86"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.055451774	0.005659523	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_24"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"87"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.027725887	0.008489285	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_25"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"88"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.055451774	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_26"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"89"	"Restoring ancestral phenotypes is a general pattern in gene expression evolution during adaptation to new environments in Tribolium castaneum	"	"(Koch and Guillaume, 2020)	"	"Graph"	0.037828947	0.041945275	37	33	-4	4	"high"	"negative"	20	"yes"	"standing"	"Control"	"Koch_and_Guillaume_2020"	"Koch_and_Guillaume_2020_1"	"Tribolium"	"castaneum"	"Tribolium castaneum"	"SH_TL"
"90"	"Restoring ancestral phenotypes is a general pattern in gene expression evolution during adaptation to new environments in Tribolium castaneum	"	"(Koch and Guillaume, 2020)	"	"Graph"	0.215517241	0.123227632	37	37	0	0	"high"	"negative"	20	"yes"	"standing"	"Control"	"Koch_and_Guillaume_2020"	"Koch_and_Guillaume_2020_1"	"Tribolium"	"castaneum"	"Tribolium castaneum"	"SH_TL"
"91"	"Environmental variation mediates the evolution of anticipatory parental effects	"	"(Lind et al., 2020)"	"Graph"	-0.03372213	0.011617357	25	20	-5	5	"high"	"negative"	30	"yes"	"standing"	"Control"	"Lind_et_al_2020"	"Lind_et_al_2020_1"	"Caenorhabditis"	"remanei"	"Caenorhabditis remanei"	"SH_TL"
"92"	"Environmental variation mediates the evolution of anticipatory parental effects	"	"(Lind et al., 2020)"	"Graph"	-0.009463722	0.017345011	25	25	0	0	"high"	"negative"	30	"yes"	"standing"	"Control"	"Lind_et_al_2020"	"Lind_et_al_2020_1"	"Caenorhabditis"	"remanei"	"Caenorhabditis remanei"	"SH_TL"
"93"	"Environmental variation mediates the evolution of anticipatory parental effects	"	"(Lind et al., 2020)"	"Graph"	-0.029358089	0.010107754	25	20	-5	5	"high"	"negative"	30	"yes"	"standing"	"Control"	"Lind_et_al_2020"	"Lind_et_al_2020_2"	"Caenorhabditis"	"remanei"	"Caenorhabditis remanei"	"SH_TL"
"94"	"Environmental variation mediates the evolution of anticipatory parental effects	"	"(Lind et al., 2020)"	"Graph"	-0.030531771	0.021062512	25	25	0	0	"high"	"negative"	30	"yes"	"standing"	"Control"	"Lind_et_al_2020"	"Lind_et_al_2020_2"	"Caenorhabditis"	"remanei"	"Caenorhabditis remanei"	"SH_TL"
"95"	"Adaptation of a globally important coccolithophore to ocean warming and acidification	"	"(Schluter et al., 2014)	"	"Graph"	-0.023883979	0.013152973	26.3	15	-11.3	11.3	"high"	"negative"	460	"no"	"denovo"	"Control"	"Schluter_et_al_2014"	"Schluter_et_al_2014_1"	"Emiliania"	"huxleyi"	"Emiliania huxleyi"	"SH_TL"
"96"	"Adaptation of a globally important coccolithophore to ocean warming and acidification	"	"(Schluter et al., 2014)	"	"Graph"	0.061096566	0.012883921	26.3	26.3	0	0	"high"	"negative"	460	"no"	"denovo"	"Control"	"Schluter_et_al_2014"	"Schluter_et_al_2014_1"	"Emiliania"	"huxleyi"	"Emiliania huxleyi"	"SH_TL"
"97"	"Adaptation of a globally important coccolithophore to ocean warming and acidification	"	"(Schluter et al., 2014)	"	"Graph"	-0.042361936	0.013688065	26.3	15	-11.3	11.3	"high"	"negative"	460	"no"	"denovo"	"Control"	"Schluter_et_al_2014"	"Schluter_et_al_2014_2"	"Emiliania"	"huxleyi"	"Emiliania huxleyi"	"SH_TL"
"98"	"Adaptation of a globally important coccolithophore to ocean warming and acidification	"	"(Schluter et al., 2014)	"	"Graph"	0.103600781	0.03645631	26.3	26.3	0	0	"high"	"negative"	460	"no"	"denovo"	"Control"	"Schluter_et_al_2014"	"Schluter_et_al_2014_2"	"Emiliania"	"huxleyi"	"Emiliania huxleyi"	"SH_TL"
"99"	"Adaptation of a globally important coccolithophore to ocean warming and acidification	"	"(Schluter et al., 2014)	"	"Graph"	-0.056893065	0.0167794	26.3	15	-11.3	11.3	"high"	"negative"	460	"no"	"denovo"	"Control"	"Schluter_et_al_2014"	"Schluter_et_al_2014_3"	"Emiliania"	"huxleyi"	"Emiliania huxleyi"	"SH_TL"
"100"	"Adaptation of a globally important coccolithophore to ocean warming and acidification	"	"(Schluter et al., 2014)	"	"Graph"	0.108404229	0.029838511	26.3	26.3	0	0	"high"	"negative"	460	"no"	"denovo"	"Control"	"Schluter_et_al_2014"	"Schluter_et_al_2014_3"	"Emiliania"	"huxleyi"	"Emiliania huxleyi"	"SH_TL"
"101"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	"Paper"	1.753662367	0.34657359	24	24	0	0	"low"	"positive"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_1"	"Tetrahymena"	"thermophila"	"Tetrahymena thermophila"	"SL_TH"
"102"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	"Paper"	0.360436534	0.035364652	24	24	0	0	"low"	"positive"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_2"	"Tetrahymena"	"thermophila"	"Tetrahymena thermophila"	"SL_TH"
"103"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	"Paper"	0.395093893	0.063656374	24	24	0	0	"low"	"positive"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_3"	"Tetrahymena"	"thermophila"	"Tetrahymena thermophila"	"SL_TH"
"104"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	"Paper"	0.415888308	0.148531539	24	37	13	13	"low"	"positive"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_1"	"Tetrahymena"	"thermophila"	"Tetrahymena thermophila"	"SL_TH"
"105"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	"Paper"	-0.228045422	0.123422636	24	37	13	13	"low"	"positive"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_2"	"Tetrahymena"	"thermophila"	"Tetrahymena thermophila"	"SL_TH"
"106"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	"Paper"	-0.043668272	0.075326709	24	37	13	13	"low"	"positive"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_3"	"Tetrahymena"	"thermophila"	"Tetrahymena thermophila"	"SL_TH"
"107"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	""	1.795251198	0.144995073	37	24	-13	13	"high"	"negative"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_4"	"Tetrahymena"	"thermphila"	"Tetrahymena thermophila"	"SH_TL"
"108"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	""	0.235670041	0.141458608	37	24	-13	13	"high"	"negative"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_5"	"Tetrahymena"	"thermphila"	"Tetrahymena thermophila"	"SH_TL"
"109"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	""	0.277258872	0.060119909	37	24	-13	13	"high"	"negative"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_6"	"Tetrahymena"	"thermphila"	"Tetrahymena thermophila"	"SH_TL"
"110"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	""	0.596106575	0.155604469	37	37	0	0	"high"	"negative"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_4"	"Tetrahymena"	"thermphila"	"Tetrahymena thermophila"	"SH_TL"
"111"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	""	-0.136549995	0.034303713	37	37	0	0	"high"	"negative"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_5"	"Tetrahymena"	"thermphila"	"Tetrahymena thermophila"	"SH_TL"
"112"	"Temperature affects the repeatability of evolution in the microbial eukaryote Tetrahymena thermophila	"	"(Tarkington and Zufall, 2021)	"	""	0.027725887	0.045974048	37	37	0	0	"high"	"negative"	6500	"no"	"denovo"	"Anc"	"Tarkington_and_Zufall_2021"	"Tarkington_and_Zufall_2021_6"	"Tetrahymena"	"thermphila"	"Tetrahymena thermophila"	"SH_TL"
"113"	"Experimental thermal microevolution in community-embedded Daphnia populations	"	"(Van Doorslaer et al., 2010)	"	"Graph"	-0.005822416	0.044135786	24	20	-4	4	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2010"	"Van_Doorslaer_et_al_2010_1"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"114"	"Experimental thermal microevolution in community-embedded Daphnia populations	"	"(Van Doorslaer et al., 2010)	"	"Graph"	-0.028026906	0.035957776	24	24	0	0	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2010"	"Van_Doorslaer_et_al_2010_1"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"115"	"Experimental thermal microevolution in community-embedded Daphnia populations	"	"(Van Doorslaer et al., 2010)	"	"Graph"	-0.048850575	0.061399551	24	20	-4	4	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2010"	"Van_Doorslaer_et_al_2010_2"	"Daphnia"	"pulex"	"Daphnia pulex"	"SH_TL"
"116"	"Experimental thermal microevolution in community-embedded Daphnia populations	"	"(Van Doorslaer et al., 2010)	"	"Graph"	-0.082150101	0.043956203	24	24	0	0	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2010"	"Van_Doorslaer_et_al_2010_2"	"Daphnia"	"pulex"	"Daphnia pulex"	"SH_TL"
"117"	"Rapid evolution in response to increased temperaturemaintains population viability despite genetic erosionin a tropical ectotherm	"	"(Breckels et al., 2014)	"	"Paper"	-0.544303797	0.391639606	28	25	-3	3	"high"	"negative"	8	"yes"	"standing"	"Control"	"Breckels_et_al_2014"	"Breckels_et_al_2014_1"	"Poecilia"	"reticulata"	"Poecilia reticulata"	"SH_TL"
"118"	"Rapid evolution in response to increased temperaturemaintains population viability despite genetic erosionin a tropical ectotherm	"	"(Breckels et al., 2014)	"	"Paper"	-0.533333333	0.367362602	28	28	0	0	"high"	"negative"	8	"yes"	"standing"	"Control"	"Breckels_et_al_2014"	"Breckels_et_al_2014_1"	"Poecilia"	"reticulata"	"Poecilia reticulata"	"SH_TL"
"119"	"Genotype-Environment Interactions of Spontaneous Mutations for Vegetative Fitness in the Human Pathogenic Fungus Cryptococcus neoformans	"	"(Xu, 2004)"	"Paper"	0.020871033	0.020871033	25	25	0	0	"equal"	"positive"	600	"no"	"denovo"	"Anc"	"Xu_et_al"	"Xu_et_al_1"	"Cryptococcus"	"neoformans"	"Cryptococcus neoformans"	"EQ_TH"
"120"	"Genotype-Environment Interactions of Spontaneous Mutations for Vegetative Fitness in the Human Pathogenic Fungus Cryptococcus neoformans	"	"(Xu, 2004)"	"Paper"	0.072416158	0.072416158	25	37	12	12	"equal"	"positive"	600	"no"	"denovo"	"Anc"	"Xu_et_al"	"Xu_et_al_1"	"Cryptococcus"	"neoformans"	"Cryptococcus neoformans"	"EQ_TH"
"121"	"Genotype-Environment Interactions of Spontaneous Mutations for Vegetative Fitness in the Human Pathogenic Fungus Cryptococcus neoformans	"	"(Xu, 2004)"	"Paper"	0.041742065	0.041742065	37	25	-12	12	"high"	"negative"	600	"no"	"denovo"	"Anc"	"Xu_et_al"	"Xu_et_al_2"	"Cryptococcus"	"neoformans"	"Cryptococcus neoformans"	"SH_TL"
"122"	"Genotype-Environment Interactions of Spontaneous Mutations for Vegetative Fitness in the Human Pathogenic Fungus Cryptococcus neoformans	"	"(Xu, 2004)"	"Paper"	0.016443844	0.016443844	37	37	0	0	"high"	"negative"	600	"no"	"denovo"	"Anc"	"Xu_et_al"	"Xu_et_al_2"	"Cryptococcus"	"neoformans"	"Cryptococcus neoformans"	"SH_TL"
